X Y
0.501727 0.522085
1.416640 1.285503
1.652747 1.399877
0.295133 0.193027
-0.924751 -0.846874
0.590267 0.621872
0.000000 0.148475
0.924751 0.699282
-0.423024 -0.461844
-0.088540 -0.060409
-0.550916 -0.543909
0.393511 0.376915
-0.432862 -0.220317
-0.767347 -0.722803
-3.502249 -2.927516
-3.098900 -2.804745
-0.452538 -0.575923
-4.348298 -3.874813
-1.367451 -1.043302
5.007429 3.868902
-2.892307 -2.539102
4.456514 3.707301
-3.521925 -2.944291
-0.964102 -1.029690
-7.663630 -7.467419
4.810674 4.192690
-5.764938 -5.187280
-9.827941 -9.122027
9.208161 8.756850
-12.720248 -10.999682
5.115645 4.659333
-6.197801 -5.770091
0.934589 1.044368
-4.476189 -3.262808
-2.990685 -2.097950
11.185555 10.320191
2.351229 2.657829
6.276503 5.407351
-3.994138 -3.778081
3.138251 2.418842
-1.810151 -1.455669
-4.367974 -4.352518
2.203662 2.022753
-1.662585 -1.445131
7.604603 6.887987
-0.118053 0.280185
3.384196 3.054265
1.200209 1.458554
-1.367451 -1.552260
2.351229 1.487771
-1.829827 -2.221613
0.137729 -0.589457
2.941496 3.644283
-2.400418 -2.265239
-2.626687 -2.523372
1.957718 1.586574
0.167242 0.243952
1.091993 0.639095
1.485505 1.668189
-0.127891 0.292664
2.174149 2.483480
-1.151020 -1.423383
-2.508634 -2.628866
0.108216 -0.133535
0.550916 0.266523
-0.895238 -1.080704
0.875562 1.174041
1.879016 2.005095
-0.442700 -0.697169
-1.859340 -1.894061
-2.134798 -2.254697
1.593720 1.657922
0.245944 -0.015924
3.787545 4.078742
-1.564207 -1.471723
1.495342 1.707090
-0.403349 -0.319362
-0.039351 -0.053944
2.134798 2.494468
2.174149 2.189879
-0.570591 -0.793248
-0.068864 -0.142795
0.354160 0.445234
1.032967 1.022439
2.016745 2.282299
0.049189 0.548497
3.098900 2.798522
1.672422 1.854555
-1.072318 -1.418097
-1.023129 -1.175108
-6.788067 -6.355242
1.869178 2.020680
0.609942 0.673717
2.006907 1.667075
-0.639456 -0.748456
-0.147567 0.013287
-0.787022 -0.624798
0.580429 0.233930
0.491889 0.188442
-2.675876 -2.643739
1.160858 1.231121
-2.793929 -2.351279
2.282365 2.107404
0.836211 0.635742
-0.295133 -0.260750
0.354160 0.398685
1.751125 1.536419
-1.485505 -1.577026
0.668969 0.401641
-1.367451 -1.508774
1.416640 1.535203
0.039351 -0.150507
2.095447 1.743998
0.836211 0.988654
-0.491889 -0.391075
-0.226269 -0.146328
0.029513 -0.226185
0.590267 0.807937
0.609942 0.490277
-1.288749 -0.913470
-0.668969 -1.007157
0.423024 0.298839
-0.757509 -0.632591
0.600105 0.516887
-0.836211 -1.191431
0.432862 -0.273632
0.875562 0.555169
0.609942 0.464540
1.367451 1.371035
0.668969 0.373558
0.167242 0.329473
1.278911 1.434190
-0.373836 -0.114810
1.032967 0.466329
-0.285296 -0.578201
0.118053 0.196966
-0.304971 -0.550205
-0.236107 -0.285354
-0.304971 -0.286248
0.167242 -0.072243
0.678807 0.110764
1.328100 1.569308
-0.206593 0.080169
0.295133 0.699404
0.560753 0.748600
0.560753 0.437882
-0.767347 -0.810613
0.747671 0.548973
1.564207 1.528163
-2.734903 -2.064834
-0.550916 -0.118780
-2.213500 -1.979507
1.574045 1.080970
-1.426478 -1.194078
0.472213 0.583550
1.160858 0.983463
0.009838 -0.150393
0.127891 0.280146
-0.462376 -0.231993
-0.865725 -0.897275
-1.810151 -1.886786
0.511565 0.344438
-1.888854 -1.775340
0.196756 0.020939
1.318262 1.110587
1.485505 1.699433
-0.472213 -0.667249
1.180533 0.893347
0.127891 -0.053102
-0.472213 -0.113846
1.652747 1.425157
-1.318262 -1.244256
1.879016 1.591864
0.423024 0.926180
0.560753 0.212404
0.865725 0.702432
-0.541078 -0.809409
-0.570591 -0.250734
-0.068864 0.146498
0.383673 0.290536
-1.416640 -1.142588
0.393511 0.367768
-0.344322 -0.382151
0.531240 0.880084
-0.098378 -0.485899
-2.252851 -2.118446
-0.787022 -1.097758
-3.374358 -2.889182
0.511565 0.593932
-0.580429 -0.399663
1.574045 1.653140
2.026582 1.807457
1.318262 0.234479
1.918367 1.903518
-0.236107 -0.302120
2.902145 4.600392
0.885400 1.112357
-0.078702 -0.451210
-1.062480 -1.146088
1.347776 1.661683
1.574045 1.982855
-0.550916 -0.529583
-1.141182 -1.054079
0.147567 0.198233
-0.737833 -0.633782
1.101831 1.429095
1.515018 1.760507
-0.570591 -0.499149
0.127891 -0.090184
-0.895238 -1.050130
0.619780 0.719255
0.196756 0.666309
0.285296 0.581421
0.816536 0.928240
-0.482051 -0.618155
0.344322 0.324259
-0.344322 -0.337523
-0.226269 -0.038719
0.157404 0.047155
-0.609942 -0.695316
1.111669 1.033352
-0.147567 -0.238225
0.482051 0.214924
-0.403349 -0.353367
0.118053 -0.003112
-0.659131 -0.653024
0.373836 0.509394
0.226269 0.145510
0.668969 0.479020
-0.216431 -0.103111
0.236107 0.294559
0.639456 0.507620
1.710603 1.517310
-1.194472 -1.321828
0.353918 0.320540
-0.619356 -0.645051
0.825808 0.539608
1.091246 0.857434
-0.678342 -0.722343
0.427651 0.774589
0.162212 0.184944
0.457144 0.267572
1.356685 1.214617
0.250692 0.294701
-0.766822 -0.829022
-0.044240 -0.132312
-0.132719 -0.259262
-0.855301 -0.805158
-2.315212 -2.404197
0.973274 1.088593
0.058986 0.074159
0.634103 0.680933
-3.082034 -3.181334
0.752075 0.884658
2.123507 2.178248
2.477424 2.372050
0.442397 0.327079
-1.386178 -1.435003
0.884794 1.053744
0.000000 0.251586
1.386178 1.184913
-0.634103 -0.782581
-0.132719 -0.102361
-0.825808 -0.921639
0.589863 0.638672
-0.648849 -0.373320
-1.150233 -1.224768
-5.249780 -4.960590
-4.645171 -4.752558
-0.678342 -0.975884
-6.517986 -6.565758
-2.049774 -1.767844
7.506006 6.555742
-4.335493 -4.302434
6.680198 6.281914
-5.279273 -4.989015
-1.445164 -1.744780
-11.487581 -12.653324
7.211075 7.104391
-8.641492 -8.789695
-14.731827 -15.457008
13.802793 14.838227
-19.067320 -18.638639
7.668218 7.895104
-9.290341 -9.777251
1.400925 1.769651
-6.709691 -5.528733
-4.482958 -3.554915
16.766854 17.487261
3.524431 4.503614
9.408314 9.162597
-5.987109 -6.401849
4.704157 4.098657
-2.713370 -2.466589
-6.547479 -7.375215
3.303233 3.427495
-2.492171 -2.448733
11.399101 11.671493
-0.176959 0.474766
5.072821 5.175363
1.799082 2.471478
-2.049774 -2.630260
3.524431 2.520984
-2.742863 -3.764458
0.206452 -0.998817
4.409226 6.175132
-3.598164 -3.838382
-3.937335 -4.275781
2.934568 2.688403
0.250692 0.413370
1.636870 1.082927
2.226733 2.826698
-0.191705 0.495910
3.258993 4.208185
-1.725349 -2.411881
-3.760376 -4.454536
0.162212 -0.226270
0.825808 0.451616
-1.341938 -1.831221
1.312445 1.989379
2.816596 3.397574
-0.663596 -1.181333
-2.787102 -3.209431
-3.200006 -3.820518
2.388945 2.809300
0.368664 -0.026982
5.677431 6.911308
-2.344705 -2.493791
2.241479 2.892614
-0.604610 -0.541149
-0.058986 -0.091406
3.200006 4.226802
3.258993 3.710686
-0.855301 -1.344135
-0.103226 -0.241962
0.530877 0.754435
1.548390 1.732493
3.023048 3.867288
0.073733 0.929412
4.645171 4.742014
2.506918 3.142490
-1.607377 -2.402924
-1.533644 -1.991186
-10.175136 -10.768772
2.801849 3.423983
0.914288 1.141593
3.008301 2.824809
-0.958527 -1.268237
-0.221199 0.022514
-1.179726 -1.058703
0.870048 0.396387
0.737329 0.319309
-4.011068 -4.479738
1.740096 2.086099
-4.188027 -3.984173
3.421205 3.570935
1.253459 1.077246
-0.442397 -0.441833
0.530877 0.675561
2.624890 2.603417
-2.226733 -2.672224
1.002767 0.680569
-2.049774 -2.556574
2.123507 2.601357
0.058986 -0.255030
3.141020 2.955153
1.253459 1.675246
-0.737329 -0.662664
-0.339171 -0.247948
0.044240 -0.383265
0.884794 1.369026
0.914288 0.830760
-1.931801 -1.547848
-1.002767 -1.706598
0.634103 0.506375
-1.135486 -1.071908
0.899541 0.875850
-1.253459 -2.018846
0.648849 -0.463661
1.312445 0.940718
0.914288 0.787149
2.049774 2.323178
1.002767 0.632982
0.250692 0.558282
1.917055 2.430192
-0.560370 -0.194542
1.548390 0.790180
-0.427651 -0.979744
0.176959 0.333753
-0.457144 -0.932306
-0.353918 -0.483524
-0.457144 -0.485038
0.250692 -0.122414
1.017514 0.187686
1.990787 2.659147
-0.309678 0.135844
0.442397 1.185120
